Tunnus;Nimi;Jakeluosoite;Postinumero;Postitoimipaikka;Huoneala (hum²);Bruttoala (brm²);Tilavuus (rm³);Kerrosala (m²);Rakennusvuosi;Peruskorjausvuosi;Kerrosten lkm;Kellarikerrosten lkm;Ullakkokerrosten lkm
610101;Kaukovainion päiväkoti ja nuorisotalo;Hiirihaukantie 12;90250;OULU;1 091;1 248;4 269;1 244;1980;0;1;0;0
610201;Simpsin päiväkoti;Purjehtijantie 12;90560;OULU;1 043;1 119;4 042;1 119;1981;2008;1;0;0
610202;Simpsin päiväkoti, ulkoiluvälinevarasto;Purjehtijantie 12;90560;OULU;15;0;0;0;1981;2008;0;0;0
610302;Sampolan päiväkoti;Kullervontie 5;90570;OULU;913;1 047;3 440;987;1981;2004;1;0;0
610401;Vihreän talon avoin päiväkoti, Hollihaka;Uusikatu 27;90100;OULU;317;355;1 391;355;1910;1982;1;0;0
610501;Haapalehdon päiväkoti;Manttaalitie 6;90650;OULU;1 300;1 441;5 151;1 441;1982;2007;1;0;0
610502;Willamiina;Manttaalitie 6;90650;OULU;372;455;1 507;455;1982;0;1;0;0
610503;Haapalehdon päiväkoti, varasto;Manttalitie 6;90650;OULU;36;41;120;41;1982;0;1;0;0
610601;Kalliolan päiväkoti;Valtatie 69;90500;OULU;775;929;3 572;915;1982;2012;2;0;0
610602;Kalliolan päiväkoti, jätehuoltotila;Valtatie 69;90500;OULU;0;0;0;0;1982;2012;0;0;0
610701;Herukan päiväkoti;Taskisentie 7;90800;OULU;737;875;3 077;845;1983;2011;1;0;0
610702;Herukan päiväkoti, varastot;Taskisentie 7;90800;OULU;14;0;0;0;1983;0;0;0;0
610801;Mäntylä-Snellman päiväkoti;Joulumerkintie 2;90150;OULU;1 567;1 797;6 877;2 082;1935;0;3;1;0
610804;Mäntylän päiväkoti, talli;Joulumerkintie 2;90150;OULU;109;122;364;122;1985;0;1;0;0
610805;Mäntylän päiväkoti, varasto/kellari;Joulumerkintie 2;90150;OULU;69;77;259;143;1935;0;0;1;0
610806;Mäntylän päiväkoti, varasto;Joulumerkintie 2;90150;OULU;41;43;150;46;1985;0;1;0;0
610807;Mäntylän päiväkoti, varasto;Joulumerkintie 2;90150;OULU;103;113;294;121;1935;0;1;0;0
610810;Mäntylän päiväkoti;Snellmanintie  2;90150;OULU;631;726;2 228;660;1956;2007;2;1;0
610901;Pöllökankaan päiväkoti;Kuovitie 9;90540;OULU;852;965;3 115;965;1984;0;2;0;0
610902;Pöllökankaan päiväkoti, varasto;Kuovitie 9;90540;OULU;61;68;170;68;1984;0;1;0;0
611001;Kaijonharjun päiväkoti Kanerva;Kalevalantie 11;90570;OULU;733;829;2 741;829;1984;2009;1;0;0
611002;Kaijonharjun päiväkoti Kanerva, varasto-jätekatos;Kalevalantie 11;90570;OULU;21;24;91;0;2009;0;1;0;0
611003;Kaijonharjun päiväkoti Kanerva, leikkivälinevarasto;Kalevalantie 11;90570;;10;11;44;11;2009;0;1;0;0
611101;Pateniemen päiväkoti;Temmitie 8;90800;OULU;646;738;2 611;738;1985;0;1;0;0
611102;Pateniemen päiväkoti, varasto;Temmitie 8;90800;OULU;11;14;38;14;1985;0;1;0;0
611231;Kisakentän päiväkoti;Koskitie 9;90500;OULU;1 211;1 396;4 446;1 396;1986;1998;1;0;0
611290;Kisakentän päiväkoti, jätevarasto;Koskitie 9;90500;OULU;19;22;59;22;1986;0;1;0;0
611291;Kisakentän päiväkoti, varasto;Koskitie 9;90500;OULU;6;8;21;8;1986;0;1;0;0
611301;Kuivasjärven päiväkoti;Karppalantie 2;90540;OULU;802;894;3 235;894;1985;0;1;0;0
611302;Kuivasjärven päiväkoti, varasto;Karppalantie 2;90540;OULU;15;17;41;17;1985;0;1;0;0
611601;Pikku-Iikan päiväkoti;Pikku-Iikan katu 4;90120;OULU;781;899;3 130;899;1988;0;1;0;0
611801;Kangaskontion päiväkoti;Kangaskontiontie 15;90240;OULU;853;958;3 420;958;1988;0;1;0;0
611802;Kangaskontion päiväkoti, varastot;Kangaskontiontie 15;90240;OULU;16;18;45;18;1988;0;1;0;0
611901;Syynimaan päiväkoti;Taidonkaari 2;90570;OULU;750;828;2 839;828;1989;0;1;0;0
611902;Syynimaan päiväkoti, varasto-jätekatos;Taidonkaari 2;90570;OULU;14;0;0;0;0;0;0;0;0
612001;Lintulammen palvelukoti;Sorsatie 29;90150;OULU;799;945;2 802;945;1967;1996;2;1;0
612101;Piparkakkutalo;Hupisaaret;90100;OULU;72;84;264;0;2012;0;0;0;0
612201;Piilikujan ryhmäperhepäiväkoti;Nuolikuja 4;90410;OULU;129;151;450;151;1992;0;1;0;0
612202;Piilikujan ryhmäperhepäiväkoti, autotalli;Nuolikuja 4;90410;OULU;51;59;187;59;1992;0;1;0;0
612401;Kontinkankaan työkeskus;Kiviharjunlenkki 5;90230;OULU;1 215;1 516;4 548;1 516;1958;1987;2;1;0
612501;Kenttätien palvelukeskus;Nahkatehtaankatu 7;90130;OULU;1 197;1 504;5 330;1 504;1930;1997;2;1;0
612601;Lehtorannan toimintakeskus;Koskitie 43;90500;OULU;758;889;2 871;889;1981;0;1;0;0
612602;Lehtorannan toimintakeskus 2;Koskitie 43;90500;OULU;479;506;1 500;299;1950;2004;2;1;0
612701;Kuukkelin päiväkoti;Hippiäiskuja 3;90420;OULU;1 238;1 375;4 995;1 233;2006;0;0;0;0
612702;Kuukkelin päiväkoti, pihavarasto 1;Hippiäiskuja 3;90420;OULU;14;15;38;15;2007;0;0;0;0
612703;Kuukkelin päiväkoti, pihavarastot 2;Hippiäiskuja 3;90420;OULU;20;21;54;0;2007;0;0;0;0
612704;Kuukkelin päiväkoti, leikkimökki-varasto;Hippiäiskuja 3;90420;OULU;4;4;44;0;2007;0;0;0;0
612801;Kuivasrannan päiväkoti;Kuivasrannantie 6;90540;OULU;1 783;1 949;8 000;1 803;2006;0;1;0;0
612802;Kuivasrannan päiväkoti, leikkipihan varasto;Kuivasrannantie 6;90540;OULU;20;0;65;26;2006;0;1;0;0
613105;Päihdeklinikka (Kiviharju);Kiviharjuntie 5 ;90220;OULU;1 136;1 316;4 134;1 244;1978;0;0;0;0
613201;Allimaria, mielenterveyspotilaiden asumispalveluyksikkö;Allitie 1;90150;OULU;1 452;1 687;5 219;1 076;1958;1991;3;1;0
614001;Hiirosenkoti, F-talo;Merikotkantie 5;90250;OULU;526;700;2 130;413;1957;1999;2;1;0
614002;Hiirosenkoti;Merikotkantie 5;90250;OULU;12 878;14 912;51 216;11 518;1954;2012;3;1;0
614003;Merikotkan päiväkoti, G-talo;Merikotkantie 5;90250;OULU;1 319;1 464;4 236;1 141;1956;2008;3;1;0
614101;Lintulan päiväkoti;Kihokkitie 3;90150;OULU;723;886;2 950;886;1989;2008;1;0;0
614102;Lintulan päiväkoti, varastot;Kihokkitie 3;90150;OULU;14;0;0;0;1989;0;0;0;0
614201;Pyykösjärven päiväkoti;Järvenkorventie 6;90550;OULU;641;742;2 704;666;1989;0;1;0;0
614501;Intiön hoivakoti;Upseerinkatu 2;90130;OULU;4 488;5 153;20 700;4 953;2005;0;4;0;0
614601;Timosen huoltokoti, päärakennus;Timosenkoskentie 70;90630;OULU;438;501;1 626;414;1920;2010;2;0;0
614604;Timosen huoltokoti, asuntola 2;Timosenkoskentie 70;90630;OULU;40;54;153;54;1920;2010;1;0;0
614605;Timosen huoltokoti, piharakennus ;Timosenkoskentie 70;90630;OULU;194;219;692;219;1920;1984;1;0;0
614607;Timosen huoltokoti, sauna;Timosenkoskentie 70;90630;OULU;80;114;318;114;1920;1984;2;0;0
614609;Timosen huoltokoti, asuntola 1;Timosenkoskentie 70;90630;OULU;195;222;723;222;1985;2010;1;0;0
614610;Timosen huoltokoti, huoltorakennus;Timosenkoskentie 70;90630;OULU;146;171;518;171;1985;0;1;0;0
615001;Lassintalon vanhainkoti;Myllytie 4;90500;OULU;3 465;4 230;13 500;4 230;1975;2003;4;1;0
615101;Kirkkotorin koulutuskeskus;Asemakatu 5;90100;OULU;479;528;2 640;508;1859;2007;1;1;0
615501;Tukiasuntola, Rehulantie 7;Rehulantie  7;90140;OULU;495;624;1 951;442;1955;2008;1;0;0
616201;Lastenkoti Onnela;Onnelantie 6;90230;OULU;695;828;2 717;828;1968;2011;1;0;0
616301;Metsolan lastenkoti;Hämäläntie 15;90800;OULU;964;1 105;4 600;1 105;2006;0;1;0;0
616401;Nappi;Hallituskatu 5;90100;OULU;431;490;1 798;350;1884;1999;0;0;0
616501;Byströmin talo;Hallituskatu 5 A / Aleksanterinkatu 7;90100;OULU;1 997;2 256;8 020;1 592;1898;2007;2;0;0
617301;Kasarmi H10 Kuntotalo;Upseerinkatu 4;90130;OULU;1 218;1 326;7 820;1 332;1997;2003;0;0;0
617401;Pop-jazz -tilat (Kasarmi H11, päällystökerho);Upseerinkatu 8;90130;OULU;453;535;2 140;535;1881;2010;0;0;0
618001;Heinäpään urheilupuisto, huoltorakennus;Nuottasaarentie 12;90120;OULU;434;511;1 822;511;1981;0;1;0;0
618101;Niittyaron urheilualue, huoltorakennus;Kaarnatie;90560;OULU;165;184;543;184;1983;0;1;0;0
618102;Niittyaron urheilualue, traktoritalli;Kaarnatie;90560;OULU;24;28;87;28;1983;0;1;0;0
618201;Pateniemen urheilualue, huoltorakennus;Sahanhoitajantie;90800;OULU;246;280;1 010;280;1995;0;1;0;0
618301;Lintulan urheilupuisto, huoltorakennus;Kaislakuja;90150;OULU;209;244;873;244;1987;0;1;0;0
618603;Iinatin moottoriurheilukeskus, vaakahuone;Iinatintie 160;90420;OULU;0;29;60;29;1986;0;1;0;0
618701;Linnanmaan liikuntahalli;Virkakatu 1;90570;OULU;3 052;3 301;26 500;3 301;1992;0;2;0;0
618801;Pesäpallostadion;Raksilan urheilualue;90130;OULU;836;1 142;3 300;1 142;1997;0;2;0;0
618901;Maikkulan urheilualue, huoltorakennus;Niemirannantie 9;90240;OULU;266;290;947;290;1997;0;1;0;0
619001;Linnanmaan harjoitusjäähalli;Kauppalinnankatu 6;90570;OULU;5 129;5 341;39 300;5 341;2000;0;0;0;0
619201;Heinäpään palloiluhalli;Nuottasaarentie 12;90400;OULU;8 862;9 096;151 800;8 730;2007;0;1;0;0
619401;Hovinsuon urheilupuiston huoltorakennus;Hintankuja 3;90650;OULU;140;200;736;200;2005;0;1;0;0
619501;Kaakkurin urheilualueen huoltorakennus;Kaakonpojankuja;90420;OULU;193;227;845;227;2011;0;1;0;0
620001;Heinätorin erityiskoulu, päärakennus, A-rakennus;Torikatu 45;90120;OULU;993;1 227;6 017;1 227;1876;1981;2;0;0
620002;Heinätorin erityiskoulu, E-rakennus;Torikatu 45;90120;OULU;115;143;472;143;1876;1981;1;0;0
620003;Heinätorin erityiskoulu, B-rakennus;Torikatu 45;90120;OULU;112;151;651;151;1872;1981;1;0;0
620004;Heinätorin erityiskoulu, lisärakennus;Torikatu 45;90120;OULU;631;723;3 916;723;1985;0;2;0;0
620005;Heinätorin erityiskoulu, C-rakennus (tekniset tilat);Torikatu 45;90120;OULU;35;48;145;48;1920;0;1;0;0
620006;Heinätorin erityiskoulu, varasto, D-rakennus;Torikatu 45;90120;OULU;42;48;298;48;1920;1981;1;0;0
620101;Kajaanintullin koulu;Asemakatu 35;90100;OULU;497;519;2 894;519;1893;2000;1;0;0
620102;Kajaanintullin koulu, veisto;Asemakatu 35;90100;OULU;315;306;1 530;306;1830;2000;1;0;0
620106;Kajaanintullin koulu, lisärakennus;Asemakatu 35;90100;OULU;637;737;2 744;737;2000;0;0;0;0
620201;Knuutilankankaan koulu ja päiväkoti;Knuutilankankaantie 10;90230;OULU;2 770;3 122;11 990;3 000;1987;2008;2;1;0
620301;Maikkulan alakoulu;Maikkulanraitti 11;90240;OULU;3 039;3 402;13 801;3 356;1989;0;2;0;0
620302;Maikkulan alakoulu, jätekatos;Maikkulanraitti 11;90240;OULU;27;29;82;0;2012;0;0;0;0
620404;Maikkulan yläkoulu;Jatulikivenkatu 3;90240;OULU;3 812;4 235;19 059;4 167;1991;0;2;0;0
620405;Maikkulan yläkoulu, varasto/jätekatos;Jatulikivenkatu 3;90240;OULU;0;0;0;0;2012;0;0;0;0
620501;Oulunlahden koulu;Fiskarintie 2;90410;OULU;1 977;2 165;9 376;2 165;1950;2010;1;1;0
620503;Oulunlahden koulu (ent. asuntola);Fiskarintie 2;90410;OULU;383;456;1 338;304;1950;1978;2;1;0
620601;Kuivasojan koulu, B-rakennus;Pateniementie 2;90800;OULU;404;481;1 671;409;1920;1991;2;1;0
620602;Kuivasojan koulu, A-rakennus;Pateniementie 2;90800;OULU;229;258;1 129;258;1910;1991;1;0;0
620604;Kuivasojan koulu, liikuntasali;Pateniementie 2;90800;OULU;428;471;2 280;415;2001;0;0;0;0
620605;Kuivasojan koulu, ulkovarasto;Pateniementie 2;90800;OULU;24;31;95;31;1992;0;1;0;0
620701;Hintan koulu;Valjastie 19;90650;OULU;4 570;5 118;21 571;5 323;1957;2003;4;1;0
620801;Kaukovainion yhtenäiskoulu ja kirjasto;Hiirihaukantie 4;90250;OULU;6 427;7 208;31 059;7 293;1970;2012;2;1;0
620901;Pöllönkankaan koulu;Kuovitie 13;90540;OULU;6 413;7 251;28 585;6 857;1987;2009;2;1;0
620902;Pöllönkankaan koulu, jätekatos;Kuovitie 13;90540;OULU;15;16;46;0;2012;0;0;0;0
